Sentiment Analysis:
------------------------ Sentiment of Articles ------------------------
265.txt	{'neg': 0.279, 'neu': 0.721, 'pos': 0.0, 'compound': -0.7351}
266.txt	{'neg': 0.09, 'neu': 0.91, 'pos': 0.0, 'compound': -0.5346}
267.txt	{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.7579}
268.txt	{'neg': 0.109, 'neu': 0.806, 'pos': 0.086, 'compound': 0.0299}
269.txt	{'neg': 0.0, 'neu': 0.892, 'pos': 0.108, 'compound': 0.5267}
270.txt	{'neg': 0.0, 'neu': 0.907, 'pos': 0.093, 'compound': 0.5574}
271.txt	{'neg': 0.155, 'neu': 0.845, 'pos': 0.0, 'compound': -0.6597}
272.txt	{'neg': 0.0, 'neu': 0.964, 'pos': 0.036, 'compound': 0.2732}
273.txt	{'neg': 0.025, 'neu': 0.846, 'pos': 0.129, 'compound': 0.743}
274.txt	{'neg': 0.224, 'neu': 0.715, 'pos': 0.061, 'compound': -0.8789}
275.txt	{'neg': 0.152, 'neu': 0.848, 'pos': 0.0, 'compound': -0.3612}
276.txt	{'neg': 0.197, 'neu': 0.803, 'pos': 0.0, 'compound': -0.8341}
277.txt	{'neg': 0.018, 'neu': 0.982, 'pos': 0.0, 'compound': -0.0516}
278.txt	{'neg': 0.0, 'neu': 0.773, 'pos': 0.227, 'compound': 0.8316}
279.txt	{'neg': 0.0, 'neu': 0.782, 'pos': 0.218, 'compound': 0.7717}
280.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
281.txt	{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.34}
282.txt	{'neg': 0.11, 'neu': 0.714, 'pos': 0.176, 'compound': 0.296}
283.txt	{'neg': 0.32, 'neu': 0.68, 'pos': 0.0, 'compound': -0.765}
284.txt	{'neg': 0.077, 'neu': 0.872, 'pos': 0.051, 'compound': -0.3182}
285.txt	{'neg': 0.199, 'neu': 0.801, 'pos': 0.0, 'compound': -0.802}
